area,price
1649.01,219044.72
1458.52,210365.2
1694.31,247291.69
1956.91,277490.8
1429.75,211237.38
1429.76,222544.85
1973.76,333788.29
1730.23,263026.12
1359.16,209024.66
1662.77,247926.28
1360.97,165770.78
1360.28,203511.88
1572.59,237092.91
926.02,188167.23
982.52,143531.48
1331.31,205728.01
1196.15,178728.36
1594.27,215767.57
1227.59,206995.37
1076.31,176484.99
1939.69,306774.83
1432.27,196652.32
1520.26,256094.66
1072.58,132849.31
1336.69,212239.92
1533.28,273800.63
1154.7,153394.56
1612.71,230580.46
1319.81,199964.29
1412.49,201804.27
1319.49,166909.93
2055.68,309723.78
1495.95,203146.55
1182.69,186874.86
1746.76,243626.04
1133.75,201060.72
1562.66,218733.8
912.1,130373.61
1101.54,181501.97
1559.06,209241.47
1721.54,262780.19
1551.41,258854.43
1465.31,187646.16
1409.67,215143.01
1056.44,163664.17
1284.05,208243.47
1361.81,179532.24
1817.14,246161.37
1603.09,250901.65
971.09,151602.89
1597.23,244593.64
1384.48,214600.26
1296.92,180938.02
1683.5,257170.51
1809.3,277256.43
1779.38,252620.58
1248.23,224550.7
1407.24,220562.1
1599.38,216080.78
1792.66,282030.6
1356.25,183943.53
1444.3,232387.04
1168.1,198386.84
1141.14,154757.06
1743.76,280831.18
1906.87,294286.42
1478.4,238200.75
1801.06,308094.84
1608.49,236365.86
1306.46,180894.89
1608.42,223472.51
1961.41,277895.44
1489.25,221845.79
1969.39,302232.0
714.08,112645.29
1746.57,278529.28
1526.11,229177.16
1410.3,240615.35
1527.53,223836.1
903.73,189962.78
1434.1,227628.11
1607.13,223926.91
1943.37,270087.38
1344.52,211327.29
1257.45,184148.53
1349.47,216700.94
1774.62,275657.85
1598.63,238337.22
1341.07,184224.92
1653.98,217800.09
1529.12,220438.19
1790.59,285717.0
1289.38,197689.49
1401.7,185340.43
1382.37,210818.75
1060.95,166848.17
1588.84,220648.26
1578.32,239821.99
1501.53,226394.28
1429.62,191584.17
